中国	China
蒙古	Mongolia
朝鲜	North Korea
韩国	South Korea
日本	Japan
菲律宾	Philippines
越南	Vietnam
老挝	Laos
柬埔寨	Cambodia
缅甸	Myanmar
泰国	Thailand
马来西亚	Malaysia
文莱	Brunei
新加坡	Singapore
印度尼西亚	Indonesia
东帝汶	East Timor
尼泊尔	Nepal
不丹	Bhutan
孟加拉国	Bangladesh
印度	India
巴基斯坦	Pakistan
斯里兰卡	Sri Lanka
马尔代夫	Maldives
哈萨克斯坦	Kazakhstan
吉尔吉斯斯坦	Kyrgyzstan
塔吉克斯坦	Tajikistan
乌兹别克斯坦	Uzbekistan
土库曼斯坦	Turkmenistan
阿富汗	Afghanistan
伊拉克	Iraq
伊朗	Iran
叙利亚	Syria
约旦	Jordan
黎巴嫩	Lebanon
以色列	Israel
巴勒斯坦	Palestine
沙特阿拉伯	Saudi Arabia
巴林	Bahrain
卡塔尔	Qatar
科威特	Kuwait
阿拉伯联合酋长国	United Arab Emirates
阿联酋	United Arab Emirates
阿曼	Oman
也门	Yemen
格鲁吉亚	Georgia
亚美尼亚	Armenia
阿塞拜疆	Azerbaijan
土耳其	Turkey
塞浦路斯	Cyprus
芬兰	Finland
瑞典	Sweden
挪威	Norway
冰岛	Iceland
丹麦	Denmark
法罗群岛	Faroe Islands
爱沙尼亚	Estonia
拉脱维亚	 Latvia
立陶宛	Lithuania
白俄罗斯	Belarus
俄罗斯	Russia
乌克兰	Ukraine
摩尔多瓦	Moldova
波兰	Poland
捷克	Czech Republic
斯洛伐克	Slovakia
匈牙利	Hungary
德国	Germany
奥地利	Austria
瑞士	Switzerland
列支敦士登	Liechtenstein
英国	United Kingdom
爱尔兰	Ireland
荷兰	Netherlands
比利时	Belgium
卢森堡	Luxembourg
法国	France
摩纳哥	Monaco
罗马尼亚	Romania
保加利亚	Bulgaria
塞尔维亚	Serbia
马其顿	Macedonia
阿尔尼巴亚	Alnibaya
希腊	Greece
斯洛文尼亚	Slovenia
克罗地亚	Croatia
波斯尼亚和墨塞哥维那	Bosnia and Herzegovina
乍得	Chad
中非	Central Africa
喀麦隆	Cameroon
赤道几内亚	Equatorial Guinea
加蓬	Gabon
刚果共和国	Republic of Congo
刚果(布）	Republic of Congo
刚果民主共和国	Democratic Republic of Congo
刚果（金）	Democratic Republic of Congo
圣多美及普林西比	Sao Tome and Principe
毛里塔尼亚	Mauritania
塞内加尔	Senegal
冈比亚	Gambia
马里	Mali
布基纳法索	Burkina Faso
几内亚	Guinea
几内亚比绍	Guinea-Bissau
佛得角	Cape Verde
塞拉利昂	Sierra Leone
利比里亚	Liberia
科特迪瓦	Ivory Coast
加纳	Ghana
多哥	Togo
贝宁	Benin
尼日尔	Niger
加那利群岛	Canary Islands
赞比亚	Zambia
安哥拉	Angola
津巴布韦	Zimbabwe
马拉维	Malawi
莫桑比克	Mozambique
博茨瓦纳	Botswana
纳米比亚	Namibia
南非	South Africa
斯威士兰	Swaziland
莱索托	Lesotho
马达加斯加	Madagascar
科摩罗	Comoros
毛里求斯	Mauritius
澳大利亚	Australia
新西兰	New Zealand
巴布亚新几内亚	Papua New Guinea
所罗门群岛	Solomon Islands
瓦努阿图	Vanuatu
密克罗尼西亚	Micronesia
马绍尔群岛	Marshall Islands
帕劳	Palau
瑙鲁	Nauru
基里巴斯	Kiribati
图瓦卢	Tuvalu
萨摩亚	Samoa
斐济群岛	Fiji Islands
汤加	Tonga
加拿大	Canada
美国	United States
墨西哥	Mexico
危地马拉	Guatemala
伯利兹	Belize
萨尔瓦多	Salvador
洪都拉斯	Honduras
尼加拉瓜	Nicaragua
哥斯达黎加	Costa Rica
巴拿马	Panama
巴哈马	Bahamas
古巴	Cuba
牙买加	Jamaica
海地	Haiti
多米尼加共和国	Dominican Republic
安提瓜和巴布达	Antigua and Barbuda
圣基茨和尼维斯	St. Kitts and Nevis
多米尼克	Dominica
圣卢西亚	Saint Lucia
圣文森特和格林纳丁斯	Saint Vincent and the Grenadines
格林纳达	Grenada
巴巴多斯	Barbados
特立尼达和多巴哥	Trinidad and Tobago
哥伦比亚	Colombia
委内瑞拉	Venezuela
圭亚那	Guyana
苏里南	Suriname
厄瓜多尔	Ecuador
秘鲁	Peru
玻利维亚	Bolivia
巴西	Brazil
智利	Chile
阿根廷	Argentina
乌拉圭	Uruguay
巴拉圭	Paraguay
意大利	Italy
梵蒂冈	Vatican
圣马力诺	San Marino
马其他	Malta
西班牙	Spain
葡萄牙	Portugal
安道尔	Andorra
埃及	Egypt
利比亚	Libya
苏丹	Sudan
突尼斯	Tunisia
阿尔及利亚	Algeria
摩洛哥	Morocco
埃塞俄比亚	Ethiopia
厄立特里亚	Eritrea
索马里	Somalia
吉布提	Djibouti
肯尼亚	Kenya
坦桑尼亚	Tanzania
乌干达	Uganda
卢旺达	Rwanda
布隆迪	Burundi
塞舌尔	Seychelles
